#           k/h    P           
    0.42098E-02    0.31965E+05
    0.42948E-02    0.32264E+05
    0.43816E-02    0.32561E+05
    0.44701E-02    0.32854E+05
    0.45604E-02    0.33142E+05
    0.46525E-02    0.33426E+05
    0.47465E-02    0.33706E+05
    0.48424E-02    0.33981E+05
    0.49402E-02    0.34251E+05
    0.50400E-02    0.34517E+05
    0.51419E-02    0.34776E+05
    0.52457E-02    0.35031E+05
    0.53517E-02    0.35279E+05
    0.54598E-02    0.35521E+05
    0.55701E-02    0.35756E+05
    0.56826E-02    0.35984E+05
    0.57974E-02    0.36206E+05
    0.59145E-02    0.36419E+05
    0.60340E-02    0.36626E+05
    0.61559E-02    0.36824E+05
    0.62803E-02    0.37013E+05
    0.64072E-02    0.37195E+05
    0.65366E-02    0.37367E+05
    0.66686E-02    0.37530E+05
    0.68033E-02    0.37683E+05
    0.69408E-02    0.37826E+05
    0.70810E-02    0.37959E+05
    0.72240E-02    0.38081E+05
    0.73700E-02    0.38193E+05
    0.75189E-02    0.38293E+05
    0.76708E-02    0.38382E+05
    0.78257E-02    0.38458E+05
    0.79838E-02    0.38522E+05
    0.81451E-02    0.38574E+05
    0.83096E-02    0.38612E+05
    0.84775E-02    0.38637E+05
    0.86488E-02    0.38649E+05
    0.88235E-02    0.38646E+05
    0.90017E-02    0.38629E+05
    0.91836E-02    0.38597E+05
    0.93691E-02    0.38551E+05
    0.95583E-02    0.38489E+05
    0.97514E-02    0.38411E+05
    0.99484E-02    0.38317E+05
    0.10149E-01    0.38207E+05
    0.10354E-01    0.38081E+05
    0.10564E-01    0.37937E+05
    0.10777E-01    0.37776E+05
    0.10995E-01    0.37599E+05
    0.11217E-01    0.37403E+05
    0.11443E-01    0.37190E+05
    0.11675E-01    0.36958E+05
    0.11910E-01    0.36708E+05
    0.12151E-01    0.36439E+05
    0.12397E-01    0.36151E+05
    0.12647E-01    0.35844E+05
    0.12902E-01    0.35519E+05
    0.13163E-01    0.35177E+05
    0.13429E-01    0.34817E+05
    0.13700E-01    0.34440E+05
    0.13977E-01    0.34042E+05
    0.14259E-01    0.33624E+05
    0.14547E-01    0.33182E+05
    0.14841E-01    0.32717E+05
    0.15141E-01    0.32231E+05
    0.15447E-01    0.31731E+05
    0.15759E-01    0.31222E+05
    0.16077E-01    0.30712E+05
    0.16402E-01    0.30203E+05
    0.16734E-01    0.29696E+05
    0.17072E-01    0.29180E+05
    0.17416E-01    0.28650E+05
    0.17768E-01    0.28099E+05
    0.18127E-01    0.27520E+05
    0.18493E-01    0.26914E+05
    0.18867E-01    0.26283E+05
    0.19248E-01    0.25629E+05
    0.19637E-01    0.24956E+05
    0.20034E-01    0.24265E+05
    0.20438E-01    0.23563E+05
    0.20851E-01    0.22853E+05
    0.21272E-01    0.22142E+05
    0.21702E-01    0.21433E+05
